material_id,formula,e_form_pred_n0,e_form_ale_n0
scn-491,Na2ScReF7,-3.0047,0.0426
scn-492,Mg6TaTlW,0.304,0.0317
scn-493,SrCuNO2,-0.9677,0.0859
scn-494,YSc3O12,-1.9377,0.1224
scn-495,K2VF,-0.9927,0.0902
scn-496,LiMg6Ta2Cu,0.2691,0.0143
scn-497,Mg4TlBi,-0.0372,0.024
scn-498,MgCr(PbO3)2,-1.7709,0.0424
scn-499,Bi3WF10,-2.5494,0.0563
scn-500,Ba6Na2Ta2V2Cu17,0.1566,0.0415
scn-501,GaFeCl3,-0.8933,0.0601
scn-502,Ta3Al9In,-0.1002,0.0352
scn-503,NbTl(VBi4)2,0.1912,0.0819
scn-504,Sr2InNO6,-2.0605,0.0498
scn-505,Li4Mg8Ti3,0.1033,0.0169
scn-506,KBa2TaO6,-2.7138,0.0353
scn-507,Mg2Bi2S,-0.4995,0.0212
scn-508,Nb2Al7Pb2,0.0041,0.0507
scn-509,BaNa4W,0.7312,0.0359
scn-510,ScPbBr,-0.8148,0.0157
scn-511,NaMg5TaGe,0.1332,0.0215
scn-512,Ti4In11Bi2,0.0057,0.0213
scn-513,Cs2MgScPbF5,-2.8613,0.0465
scn-514,SrTiCd2Bi2PbO12,-1.7777,0.0811
scn-515,TaMo3O7,-2.308,0.0379
scn-516,HfCrCdF7,-3.2734,0.0428
scn-517,YMg7TaBi2,-0.0371,0.0147
scn-518,Mg4TaBi,0.1215,0.0215
scn-519,S3IF5,-1.1845,0.1001
scn-520,MnGeBr3,-0.4602,0.0205
scn-521,CsSr2YO6,-2.3607,0.0578
scn-522,Na3PbS4,-0.9384,0.0874
scn-523,CuBiO,-0.7219,0.0277
scn-524,Ti3Bi2(RuO6)2,-2.2369,0.0382
scn-525,BaSr(Mg3Ti)2,0.3067,0.0215
scn-526,Ba2YMg6Ta,0.2304,0.0156
scn-527,CsV2InF6,-2.5236,0.0424
scn-528,Sr2TaTcO6,-2.9591,0.0243
scn-529,Ba3HfMg15Nb4,0.225,0.0199
scn-530,Ba2TaPO6,-2.6648,0.0592
scn-531,Na2Mg7CrNi,0.1645,0.0304
scn-532,Li2Ti3ZnAs8,-0.6168,0.017
